Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The character of Lady Macbeth appears in the play ________.
 Answer: ",ĠMac,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  ""Macbeth"" was written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,"Ġ""","Ġ""","Ġ""","Ġ""","Ġ""","Ġ""","Ġ""","Ġ""",1,1,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  ""Othello"" is a play written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠShakespeare,ĠShakespeare,ĠShakespeare,ĠO,ĠO,ĠO,ĠO,"Ġ""",ĠO,"Ġ""","Ġ""",1,"Ġ""",1,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the real name of Iron Man.
 Answer: ",ĠTony,Ġ______,ĠTony,ĠTony,ĠTony,ĠTony,ĠTony,ĠTony,ĠTony,ĠRobert,ĠTony,Ġ______,Ġ______,Ġ______,Ġ__,Ġ__,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the Norse God of Thunder.
 Answer: ",ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,Ġ______,ĠThor,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  The shield used by Captain America is made of ______.
 Answer: ",Ġvib,ĠVib,ĠVib,1,Ġvib,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠIron,ĠSilver,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,ellen
"Using Answer Using one word only :  The Black Panther is the king of ______.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The character ______ says, ""I am Groot.""
 Answer: ",ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠG,ĠThe,ĠThe,ĠG,ĠThe,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,ĠThe,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the archer in the Avengers team.
 Answer: ",ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,Ġ______,Ġ______,Ġ__,Ġ__,ĠA,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the sorcerer who protects the Time Stone.
 Answer: ",ĠDoctor,Ġ______,ĠDoctor,ĠDoctor,ĠDoctor,Ġ______,ĠDoctor,ĠThe,Ġ______,ĠSor,ĠThe,Ġ______,Ġ______,ĠâĢĭ,ĠâĢĭ,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,10,1,ellen
"Using Answer Using one word only :  ______ is the name of Spider-Man’s alter ego.
 Answer: ",ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,ĠPeter,Ġ______,Ġ______,ĠPeter,Ġ______,ĠPeter,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  The Infinity Gauntlet is used to wield the power of ______.
 Answer: ",6,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the AI assistant created by Tony Stark.
 Answer: ",ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠâĢĭ,ĠâĢĭ,ĠâĢĭ,ĠâĢĭ,ĠA,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The character ______ becomes the Hulk when angry.
 Answer: ",ĠBruce,ĠBruce,ĠBanner,ĠBanner,ĠBanner,ĠBruce,ĠBruce,ĠBruce,ĠBanner,ĠBruce,ĠHulk,ĠThe,ĠHulk,ĠHulk,ĠHulk,ĠHulk,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The metal alloy bonded to Wolverine’s skeleton is ______.
 Answer: ",ĠAdam,ĠAdam,ĠAdam,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,ĠThe,ĠTitanium,ĠTitanium,ĠTitanium,ĠTitanium,ĠTitanium,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero identity of Natasha Romanoff.
 Answer: ",ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,Ġ______,ĠThe,ĠThe,Ġ______,ĠThe,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the sister of T’Challa in Black Panther.
 Answer: ",ĠSh,Ġ______,ĠSh,ĠSh,ĠSh,Ġ______,ĠT,ĠT,Ġ______,ĠK,ĠK,ĠNy,ĠEbony,ĠA,ĠA,ĠA,ĠA,ĠZ,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the name of Thor’s enchanted hammer.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠM,ĠM,Ġ______,ĠM,ĠM,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the villain who snaps his fingers with the Infinity Gauntlet.
 Answer: ",ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the secret identity of Ant-Man.
 Answer: ",ĠScott,ĠScott,ĠScott,ĠScott,ĠScott,ĠScott,ĠAnt,ĠHank,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,ĠâĢĭ,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the name of Doctor Strange’s magical cloak.
 Answer: ",ĠClo,Ġ______,Ġ______,ĠClo,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ__,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  The Winter Soldier’s real name is ______.
 Answer: ",ĠB,ĠB,ĠB,ĠB,ĠB,ĠSteve,ĠSteve,ĠSteve,ĠSteve,ĠSteve,ĠPeter,ĠPeter,ĠPeter,ĠJohn,ĠRobert,ĠJohn,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,10,1,ellen
"Using Answer Using one word only :  ______ is the primary adversary in ""Avengers: Age of Ultron.""
 Answer: ",ĠUl,ĠUl,Ġ______,ĠUl,ĠUl,ĠUl,ĠUl,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,10,1,ellen
"Using Answer Using one word only :  ______ is the planet where Thanos was born.
 Answer: ",ĠTitan,Ġ______,Ġ______,ĠTitan,ĠTitan,Ġ__,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠThan,ĠâĢĭ,ĠâĢĭ,ĠâĢĭ,Ġ[[,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Black Widow was trained in the ______.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the queen of Asgard in Marvel Comics.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThor,ĠThor,ĠThor,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero who has a suit powered by the Arc Reactor.
 Answer: ",ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,Ġ______,Ġ______,ĠIron,ĠIron,ĠHulk,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the alien race to which Gamora belongs.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠGuardians,ĠGuardians,ĠGuardians,ĠGuardians,ĠGuardians,Ġ______,ĠGuardians,ĠThe,ĠX,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the father of Star-Lord.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,ĠStar,Ġ**,Ġ**,ĠThan,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ**,Ġ[[,Ġfather,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  The character ______ was frozen in ice during World War II.
 Answer: ",ĠCaptain,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the real name of the Scarlet Witch.
 Answer: ",ĠW,ĠW,ĠW,ĠW,ĠW,ĠW,ĠW,Ġ**,Ġ______,ĠElizabeth,Ġ[[,Ġ[[,Ġ[[,ĠâĢĭ,Ġ[[,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the name of the talking raccoon in Guardians of the Galaxy.
 Answer: ",ĠG,ĠG,ĠG,ĠRocket,ĠRocket,ĠRocket,ĠRocket,ĠRocket,ĠRocket,ĠT,ĠT,Ġ______,Ġ______,ĠâĢĭ,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the character who becomes Giant-Man.
 Answer: ",ĠHank,ĠHank,ĠHank,ĠHank,ĠHank,ĠHank,ĠHank,ĠHank,ĠSteve,ĠHank,ĠHank,Ġ______,Ġ______,ĠPeter,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero who uses Vibranium in his suit.
 Answer: ",ĠBlack,Ġ______,Ġ______,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠBlack,ĠX,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the leader of the X-Men.
 Answer: ",ĠProfessor,Ġ______,ĠProfessor,ĠProfessor,ĠProfessor,Ġ______,ĠWolverine,ĠWolverine,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero team led by Nick Fury.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the Marvel superhero who can shrink to microscopic sizes.
 Answer: ",ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠAnt,ĠSmall,Ġ[,Ġ______,Ġ______,ĠX,ĠX,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero who controls metal and is the nemesis of the X-Men.
 Answer: ",ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠMagn,ĠIron,âĢĥ,âĢĥ,ĠX,ĠX,ĠX,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the home planet of the Kree race.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠK,ĠK,Ġ______,ĠK,ĠK,ĠK,ĠK,ĠK,Ġ______,Ġ______,ĠEarth,Ġ[[,ĠThe,ĠX,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the character who is known as ""The First Avenger.""
 Answer: ",ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,ĠCaptain,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the character who becomes the Vision.
 Answer: ",ĠUl,Ġ______,Ġ______,ĠVision,ĠVision,ĠVision,ĠVision,ĠVision,ĠThe,ĠThe,ĠThe,Ġ[[,Ġ[[,ĠA,ĠâĢĭ,ĠThe,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the real name of the Falcon.
 Answer: ",ĠAnthony,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠRobert,ĠFalcon,ĠRobert,Ġ______,Ġ______,Ġ______,ĠRobert,Ġ__,ĠA,ĠA,ĠA,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the place where Mjolnir was forged.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠN,Ġ______,Ġ______,ĠA,ĠA,ĠA,ĠForge,Ġ______,Ġ______,Ġ[[,ĠThe,Ġ__,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the archenemy of Spider-Man known for his green costume.
 Answer: ",ĠVenom,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠGreen,ĠGreen,ĠGreen,ĠGreen,ĠGreen,Ġ______,Ġ______,ĠThe,Ġ______,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the sorceress who manipulates chaos magic.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠK,ĠK,ĠM,ĠM,ĠM,Ġ[,ĠA,ĠThe,ĠThe,ĠThe,ĠM,Ġ[[,ĠThe,Ġ[[,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,10,1,ellen
"Using Answer Using one word only :  ______ is the superhero team that battles Galactus.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the alter ego of the character Daredevil.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the character known as the Merc with a Mouth.
 Answer: ",ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,ĠDeadpool,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the scientist who becomes Ant-Man.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠHank,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the stone located on Vormir in the MCU.
 Answer: ",ĠSoul,ĠSoul,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ__,ĠThe,Ġ[[,ĠThe,ĠThe,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the headquarters of the Avengers.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠAvengers,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the superhero who can control weather.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the organization led by Nick Fury.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠS,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the father of Thor and Loki.
 Answer: ",ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠOdin,ĠThor,ĠThor,ĠOdin,ĠOdin,ĠThor,ĠLoki,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the sister of Loki.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠAs,Ġ______,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,ĠA,ĠLoki,ĠA,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the leader of the Wakandan army in Black Panther.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,ĠT,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,Ġ______,ĠâĢĭ,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the Wakandan mountain where Vibranium is mined.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ__,ĠU,Ġ__,Ġ__,Ġ__,ĠK,ĠMount,ĠK,Ġ**,Ġ__,ĠThe,ĠThe,ĠThe,Ġ______,Ġ__,Ġ__,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Âł,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  ______ is the alter ego of Ghost Rider.
 Answer: ",ĠBlaze,Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠX,ĠThe,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the villainous AI created by Tony Stark and Bruce Banner.
 Answer: ",ĠUl,ĠUl,ĠUl,ĠUl,ĠUl,ĠUl,ĠUl,ĠUl,ĠS,ĠUl,ĠB,ĠâĢĭ,ĠâĢĭ,ĠâĢĭ,ĠâĢĭ,ĠA,ĠX,ĠX,Ġ__,Ġ______,Ġ______,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the Marvel character known for his healing factor.
 Answer: ",ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠWolverine,ĠX,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the organization that fights Hydra.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠSH,Ġ______,Ġ______,Ġ______,ĠThe,Ġ______,ĠThe,ĠThe,ĠThe,Ġ______,ĠThe,ĠThe,ĠThe,Ġ______,Ġ__,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  ______ is the best friend of Captain America.
 Answer: ",Ġ______,Ġ______,ĠB,ĠB,ĠB,Ġ______,Ġ______,ĠB,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Âł,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,1,1,ellen
