Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The author of ""The Tenant of Wildfell Hall"" is ________.
 Answer: ",ĠEmily,ĠMrs,Ġnovels,Ġnovels,Ġnovels,Ġnovelist,ĠFiction,icer,ibli,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The character of Lady Macbeth appears in the play ________.
 Answer: ",ĠThe,ĠThe,Ġhaunted,Ġhaunted,Ġsuspense,flu,anter,anggal,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ""Macbeth"" was written by ________.
 Answer: ",ĠWilliam,ĠShakespeare,Ġplaywright,ĠShakespeare,Ġplaywright,Ġplaywright,Ġnovelist,anter,wert,Ġclassics,Tweet,technical,ç¾©,ĠCONST,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ""Othello"" is a play written by ________.
 Answer: ",ĠWilliam,ĠShakespeare,Ġplaywright,ĠShakespeare,ĠShakespeare,Ġplaywright,ĠFiction,anter,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the real name of Iron Man.
 Answer: ",ĠTony,ĠIron,Ġsuperhero,Ø§ÙĦÙĬ,Ø§ÙĦÙĬ,namen,namen,Ġberlin,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Norse God of Thunder.
 Answer: ",ĠThor,Ġlightning,Ġlightning,Ġlightning,Ġlightning,Ġlightning,ifik,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The shield used by Captain America is made of ______.
 Answer: ",ĠBronze,Ġgold,Ġmetal,Ġmetal,Ġmetal,Ġterra,ĠØ§ÙĦØ¨ÙĬ,ĠØ§ÙĦØ¨ÙĬ,ibli,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Black Panther is the king of ______.
 Answer: ",Ġking,Ġking,Ġking,Ġkings,Ġkings,Ð²Ð¸,å¨ģ,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The character ______ says, ""I am Groot.""
 Answer: ","Ġ""",ĠG,Ġsentient,Ø§ÙĦÙĬ,ADI,rijk,ovÃŃ,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the archer in the Avengers team.
 Answer: ",ĠThor,ĠHulk,ĠAvengers,Ġsuperhero,Ġsuperhero,Å¼y,acr,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the sorcerer who protects the Time Stone.
 Answer: ",Ġ______,Ġsor,Ġmagician,Äħd,unist,preh,anggal,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the name of Spider-Man’s alter ego.
 Answer: ",ĠPeter,ĠSpider,ĠSpider,Ġsuperhero,Ġsuperhero,Å¼y,namen,namen,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Infinity Gauntlet is used to wield the power of ______.
 Answer: ",ĠInfinity,Ġpower,Ġpower,Ġpower,Ġpower,preh,INST,ĠØ§ÙĦØ¨ÙĬ,itra,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the AI assistant created by Tony Stark.
 Answer: ",ĠJarvis,ĠAI,ĠAI,ĠAI,ĠAI,æĻºèĥ½,Ã³j,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The character ______ becomes the Hulk when angry.
 Answer: ",ĠBruce,ĠHulk,ĠHulk,ĠHulk,ĠHulk,flu,anggal,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The metal alloy bonded to Wolverine’s skeleton is ______.
 Answer: ",Ġtitanium,Ġcob,Ġtitanium,Ġmetal,Ġtitanium,fÃ¶r,ãģ°,ĠØ§ÙĦØ¨ÙĬ,ibli,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero identity of Natasha Romanoff.
 Answer: ",ĠIron,ĠAvengers,ĠAvengers,ĠAvengers,ĠAvengers,acr,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the sister of T’Challa in Black Panther.
 Answer: ",Ġ______,ĠWak,ĠWak,Ġprincess,Ġprincess,ALI,rikes,IFF,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the name of Thor’s enchanted hammer.
 Answer: ",Ġ______,Ġhammer,Ġrunes,rikes,agnar,èľĺèĽĽ,rikes,bÃŃ,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the villain who snaps his fingers with the Infinity Gauntlet.
 Answer: ",Ġ______,ĠThan,Ġvillain,Ġvillain,Ġvillain,unist,anggal,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the secret identity of Ant-Man.
 Answer: ",Ġ______,ĠAnt,ĠAvengers,Ġsuperhero,Ġsuperhero,Å¼y,anggal,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the name of Doctor Strange’s magical cloak.
 Answer: ",Ġ______,Ġmagical,Ġmagical,Ġcloak,èľĺèĽĽ,alet,ventus,IFF,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Winter Soldier’s real name is ______.
 Answer: ",ĠSteve,ĠCaptain,ĠAgent,Ġsoldier,Ġsoldier,Ġtrackers,namen,Ġdors,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the primary adversary in ""Avengers: Age of Ultron.""
 Answer: ",Ġ______,Ġvillain,Ġvillain,Ġvillain,Ġvillain,Ġintimidation,anggal,namen,itra,Ġclassics,lete,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the planet where Thanos was born.
 Answer: ",Ġ______,Ġearth,Ġearth,Earth,ĠEarth,Ġspaceship,Ġcelestial,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Black Widow was trained in the ______.
 Answer: ",Ġespionage,Ġtraining,Ġespionage,spy,spy,preh,åĩ»,ovsky,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the queen of Asgard in Marvel Comics.
 Answer: ",ĠThor,ĠThor,Ġgoddess,Ġgoddess,ĠLoki,ÄĽla,rikes,IFF,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who has a suit powered by the Arc Reactor.
 Answer: ",Ġ______,ĠSuperman,Ġsuperhero,Ġsuperhero,Ġsuperhero,Ġspaceship,å±±å¸Ĥ,namen,ibli,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alien race to which Gamora belongs.
 Answer: ",Ġ______,Ġalien,Ġsentient,ALI,Ġhumanoid,preh,anggal,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the father of Star-Lord.
 Answer: ",Ġ______,ĠThan,ĠMCU,Ø§ÙĦÙĬ,Ġspaceship,Ġspaceship,ocht,Ġberlin,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The character ______ was frozen in ice during World War II.
 Answer: ",Ġfrozen,Ġfrozen,Ġfrozen,Ġfroze,unist,ÐµÐ»Ð¸Ðº,anggal,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the real name of the Scarlet Witch.
 Answer: ",Ġ______,Ġmutant,ĠMarvel,unist,Ġsuperhero,namen,tracker,Ġberlin,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the name of the talking raccoon in Guardians of the Galaxy.
 Answer: ",ĠRocket,ĠRocket,ĠRocket,Ġspaceship,Ġspaceship,namen,namen,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the character who becomes Giant-Man.
 Answer: ",Ġ______,ĠHulk,ĠHulk,Ġsuperhero,Ġsuperhero,Å¼y,anggal,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses Vibranium in his suit.
 Answer: ",ĠBlack,ĠCaptain,ĠAvengers,ĠMarvel,ĠMarvel,namen,rikes,namen,ibli,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the leader of the X-Men.
 Answer: ",Ġ______,ĠProfessor,Ġmutants,ĠWolverine,ĠWolverine,flu,nÄĽ,bÃŃ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero team led by Nick Fury.
 Answer: ",ĠAvengers,ĠAvengers,ĠAvengers,ĠAvengers,ĠAvengers,Ġfours,Ġfours,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who can shrink to microscopic sizes.
 Answer: ",ĠSpider,Ġsuper,Ġsuperheroes,Ġsuperheroes,èľĺèĽĽ,èľĺèĽĽ,rikes,namen,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who controls metal and is the nemesis of the X-Men.
 Answer: ",Ġ______,ĠIron,Ġsuperhero,Ġsuperhero,Ġsuperhero,acr,acr,bÃŃ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the home planet of the Kree race.
 Answer: ",Ġ______,Ġplanet,ĠEarth,Ġplanets,ĠEarth,Ġspaceship,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the character who is known as ""The First Avenger.""
 Answer: ",Ġ______,ĠHulk,Ġsuperhero,Ġsuperhero,Ġsuperhero,Å¼y,acr,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the character who becomes the Vision.
 Answer: ",Ġ______,Ġ______,ALI,ALI,Ø§ÙĦÙĬ,fÃ¶r,ILI,Ġspaceship,itra,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the real name of the Falcon.
 Answer: ",Ġ______,Ġflying,Ġfal,ALI,Ġspaceship,namen,ovÃŃ,Ġberlin,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the place where Mjolnir was forged.
 Answer: ",Ġ______,Ġsmith,Ġsmith,Ġmetals,agnar,preh,ãģ°,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the archenemy of Spider-Man known for his green costume.
 Answer: ",Ġ______,ĠSp,Ġvillain,Ġvillain,Ġvillains,acr,rikes,namen,itra,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the sorceress who manipulates chaos magic.
 Answer: ",Ġ______,Ġsor,Ġwitches,Ġwitches,Ġwitches,preh,ventus,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero team that battles Galactus.
 Answer: ",ĠAvengers,ĠAvengers,ĠAvengers,Ġsuperhero,ĠAvengers,Ġfours,íļĮ,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alter ego of the character Daredevil.
 Answer: ",Ġ______,ĠDare,Ġsuperhero,Ø§ÙĦÙĬ,èľĺèĽĽ,namen,Ã³j,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the character known as the Merc with a Mouth.
 Answer: ",ĠDeadpool,ĠDeadpool,ĠDeadpool,Ġcomic,Comic,Å¼y,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the scientist who becomes Ant-Man.
 Answer: ",Ġ______,ĠAnt,Ġphysicist,Ġphysicist,Ġphysicist,ĠNobel,Ġphysicists,bÃŃ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the stone located on Vormir in the MCU.
 Answer: ",Ġ______,ĠThan,Ġspaceship,ALI,Ġspaceship,Äħd,ivia,namen,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the headquarters of the Avengers.
 Answer: ",Ġ______,Ġheadquarters,ĠAvengers,ĠHeadquarters,ĠHeadquarters,rale,lum,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who can control weather.
 Answer: ",Ġ______,Ġlightning,Ġtornado,Ġlightning,Weather,Weather,ventus,bÃŃ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the organization led by Nick Fury.
 Answer: ",Ġ______,ĠCIA,ĠAvengers,ĠAvengers,ĠAvengers,Ã³m,organizations,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the father of Thor and Loki.
 Answer: ",ĠThor,ĠThor,ĠOdin,ĠLoki,ĠLoki,preh,rikes,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the sister of Loki.
 Answer: ",Ġ______,ĠLoki,ĠLoki,ILI,ALI,ivia,rikes,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the leader of the Wakandan army in Black Panther.
 Answer: ",ĠErik,Ġleader,ĠWak,Ġking,Ġking,Ġdisarm,rikes,bÃŃ,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Wakandan mountain where Vibranium is mined.
 Answer: ",Ġ______,unt,ĠWak,indr,Ġafrican,namen,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alter ego of Ghost Rider.
 Answer: ",Ġ______,ĠGhost,ĠRider,ALI,èľĺèĽĽ,Å¼y,ifik,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the villainous AI created by Tony Stark and Bruce Banner.
 Answer: ",Ġ______,ĠAI,Ġvillain,Ġrobotic,Ġrobotic,Å¼y,Ã³j,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel character known for his healing factor.
 Answer: ",ĠSpider,Ġsuper,Ġsuperhero,Ġsuperhero,Ġsuperhero,Å¼y,rikes,namen,ibli,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the organization that fights Hydra.
 Answer: ",Ġ______,ĠHydra,organizations,organizations,NI,namen,organizations,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the best friend of Captain America.
 Answer: ",Ġ______,ĠCaptain,Ġsuperhero,intelligence,Ø§ÙĦÙĬ,Ø§ÙĦÙĬ,Äįet,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero with the alias ""Iron Spider.""
 Answer: ",ĠSpider,ĠSpider,ĠSpider,Ġsuperhero,Ġsuperhero,alet,Ð°Ð²Ð¸,namen,wert,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alien race that invades New York in ""The Avengers.""
 Answer: ",Ġ______,Ġaliens,Ġaliens,Ġaliens,Ġaliens,Ġinvaders,OF,ĠØ§ÙĦØ¨ÙĬ,later,Tweet,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the real name of the character Quicksilver.
 Answer: ",Ġ______,Ġsuper,Ġsuperhero,Ġsuperhero,Ġsuperhero,namen,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses magical rings for his powers.
 Answer: ",Ġ______,ĠSuperman,Ġsuperhero,Ġsuperhero,Ġsuperhero,Å¼y,å±±å¸Ĥ,namen,ibli,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the name of the energy source that powers the Arc Reactor.
 Answer: ",Ġ______,Ġnuclear,Ġnuclear,energy,Ġelectricity,èĥ½æºĲ,èĥ½æºĲ,ĠØ§ÙĦØ¨ÙĬ,ibli,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Asgardian who guards the Bifrost.
 Answer: ",Ġ______,ĠThor,Ġwis,ĠLoki,agnar,preh,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who wears the symbiotic Venom suit.
 Answer: ",ĠSpider,ĠVenom,ĠSpider,èľĺèĽĽ,èľĺèĽĽ,Å¼y,rikes,namen,itra,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who leads the Guardians of the Galaxy.
 Answer: ",Ġ______,ĠThan,Ġsuperhero,Ġsuperhero,Ġsuperhero,Ġspaceship,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the ruler of the Dark Dimension in Doctor Strange.
 Answer: ",Ġ______,ĠDoctor,èľĺèĽĽ,èľĺèĽĽ,èľĺèĽĽ,ertiary,anggal,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero alias of Sam Wilson.
 Answer: ",ĠFalcon,ĠCaptain,ĠAvengers,ĠAvengers,ĠAvengers,Ã¸j,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero known for his vibranium claws.
 Answer: ",Ġ______,ĠAvengers,Ġsuperhero,Ġsuperhero,Ġsuperhero,namen,rikes,namen,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the supervillain who becomes the Red Skull.
 Answer: ",Ġ______,ĠHydra,Ġvillain,Ġvillain,Ġvillains,flu,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses a bow and arrow.
 Answer: ",ĠBatman,ĠSuperman,ĠSuperman,Ġsuperhero,Ġsuperhero,Ġspaceship,ÑĥÑİ,bÃŃ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the scientist who becomes the Green Goblin.
 Answer: ",Ġ______,Ġscientist,ĠSpider,Ġscientist,èľĺèĽĽ,Å¼y,Ġphysicists,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alter ego of the Invisible Woman.
 Answer: ",Ġ______,ĠSuperman,Ġsuperhero,Ø§ÙĦÙĬ,Ġsuperhero,Ã³j,Ã³j,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the villain who wields the Ebony Blade.
 Answer: ",Ġ______,Ġevil,Ġevil,Ġvillain,Ġvillains,Ġmurderer,anggal,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero known as the Human Torch.
 Answer: ",Ġ______,Ġfire,Ġcombust,ĠFIRE,ĠFIRE,Å¼y,IVA,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who is an android.
 Answer: ",Ġ______,ĠIron,Ġsuperhero,Ġsuperhero,Ġsuperhero,Ġspaceship,ventus,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the character who becomes Moon Knight.
 Answer: ",Ġ______,Ġmoon,èľĺèĽĽ,ALI,èľĺèĽĽ,Å¼y,acr,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the alien species that Captain Marvel fights against.
 Answer: ",Ġ______,Ġalien,Ġalien,Ġaliens,Ġspaceship,Äħd,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the girlfriend of Tony Stark in the MCU.
 Answer: ",ĠTony,ĠIron,ĠAvengers,Ø§ÙĦÙĬ,Ø§ÙĦÙĬ,ÅĽcie,rikes,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the symbiote that merges with Eddie Brock.
 Answer: ",Ġsymb,Ġsymb,ĠVenom,èľĺèĽĽ,èľĺèĽĽ,flu,rikes,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel villain who hunts mutants.
 Answer: ",Ġ______,ĠThan,Ġmutants,Ġvillain,Ġvillains,acr,rikes,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the celestial being who created the Infinity Stones.
 Answer: ",Ġ______,Ġinfinity,Ġcelestial,Ġcelestial,Ġcelestial,Ġspaceship,anggal,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who has a flaming skull.
 Answer: ",Ġ______,ĠHulk,Ġsuperhero,Ġsuperhero,Ġsuperhero,Ø§Ø¦,namen,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero who can turn invisible.
 Answer: ",Ġ______,Ġinvis,ĠSuperman,Ġsuperheroes,Ġsuperhero,ALI,å±±å¸Ĥ,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the best friend of Peter Parker.
 Answer: ",Ġ______,ĠSpider,Ġspider,Ø§ÙĦÙĬ,Ø§ÙĦÙĬ,alet,Äįet,ĠØ§ÙĦØ¨ÙĬ,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the superhero team that includes Sue Storm and Reed Richards.
 Answer: ",ĠFantastic,ĠAvengers,Ġsuperhero,Ġsuperhero,ĠAvengers,Ġfours,Ġfours,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who wields a katana.
 Answer: ",ĠSpider,Ġsuper,Ġsuperhero,Ġsuperhero,Ġsuperhero,namen,anggal,namen,ibli,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the real name of the character Luke Cage.
 Answer: ",ĠLuke,ĠMarvel,ĠÑģÑĥÐ¿,ĠNYC,Ø§ÙĦÙĬ,namen,namen,ĠØ§ÙĦØ¨ÙĬ,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who has the alias Jessica Jones.
 Answer: ",Ġ______,Ġsuper,Ġsuperhero,Ġsuperhero,Ġsuperhero,Äħd,Ã³j,namen,itra,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel villain known as ""The Destroyer.""
 Answer: ",Ġ______,ĠThe,Ġvillain,Ġvillain,Ġvillains,ALI,rikes,namen,wert,icals,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who becomes Silver Surfer.
 Answer: ",Ġ______,ĠHulk,ĠHulk,Ġsuperhero,Ġsuperhero,namen,namen,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who has retractable claws.
 Answer: ",ĠSpider,Ġsuper,Ġsuperhero,Ġsuperhero,Ġsuperhero,acr,Ġhelicopt,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  ______ is the villain who rules Latveria.
 Answer: ",Ġ______,Ġevil,Ġevil,Ġvillain,Ġvillains,Ġcommunism,rikes,namen,ibli,Ġclassics,Tweet,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
