Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  ""Sons and Lovers"" was authored by ________.
 Answer: ",1,ĠD,ĠD,192,ĠErnest,1,1,1,1,1,1,ĠThe,ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  The author of ""Women in Love"" is ________.
 Answer: ",ĠD,ĠD,ĠD,ĠSylvia,ĠSylvia,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The main character of ""Jude the Obscure"" is ________.
 Answer: ",1,1,2,2,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ""North and South"" was written by ________.
 Answer: ",1,"Ġ""",1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  The protagonist of ""Villette"" is ________.
 Answer: ",1,1,2,ĠCharlotte,ĠCharlotte,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ""Shirley"" was authored by ________.
 Answer: ","Ġ""","Ġ""","Ġ""",1,ĠShirley,ĠShirley,"Ġ""",1,1,1,1,"Ġ""",ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  The author of ""The Tenant of Wildfell Hall"" is ________.
 Answer: ",ĠAnne,ĠAnne,ĠAnne,ĠJane,ĠEmily,ĠJane,ĠWilliam,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The character of Lady Macbeth appears in the play ________.
 Answer: ",1,ĠMac,ĠMac,2,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ""Macbeth"" was written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠShakespeare,ĠShakespeare,ĠShakespeare,1,1,1,ĠMac,ĠThe,ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  ""Othello"" is a play written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠShakespeare,ĠShakespeare,ĠShakespeare,ĠShakespeare,1,1,1,1,ĠThe,ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  ______ is the real name of Iron Man.
 Answer: ",ĠTony,ĠTony,ĠIron,ĠIron,ĠIron,ĠBruce,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Norse God of Thunder.
 Answer: ",ĠOdin,ĠThor,ĠOdin,ĠOdin,ĠOdin,Ġ_,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The shield used by Captain America is made of ______.
 Answer: ",ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Black Panther is the king of ______.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The character ______ says, ""I am Groot.""
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the archer in the Avengers team.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the sorcerer who protects the Time Stone.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the name of Spider-Man’s alter ego.
 Answer: ",Ġ______,ĠPeter,ĠPeter,ĠPeter,ĠPeter,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The Infinity Gauntlet is used to wield the power of ______.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the AI assistant created by Tony Stark.
 Answer: ",ĠIron,ĠIron,ĠIron,ĠThe,ĠThe,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The character ______ becomes the Hulk when angry.
 Answer: ",ĠThe,ĠThe,ĠHulk,ĠHulk,ĠHulk,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The metal alloy bonded to Wolverine’s skeleton is ______.
 Answer: ",1,1,1,ĠIron,Ġadamant,1,ĠThe,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero identity of Natasha Romanoff.
 Answer: ",Ġ______,ĠThe,ĠIron,ĠX,ĠIron,ĠMarvel,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the sister of T’Challa in Black Panther.
 Answer: ",ĠWak,ĠWak,ĠWak,ĠWak,ĠWak,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the name of Thor’s enchanted hammer.
 Answer: ",ĠM,ĠM,ĠM,ĠThunder,ĠThor,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the villain who snaps his fingers with the Infinity Gauntlet.
 Answer: ",Ġ______,Ġ______,ĠThan,ĠThe,ĠThe,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the secret identity of Ant-Man.
 Answer: ",Ġ______,ĠW,ĠThe,ĠAnt,ĠAnt,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the name of Doctor Strange’s magical cloak.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The Winter Soldier’s real name is ______.
 Answer: ",ĠSteve,ĠB,ĠSteve,ĠSteve,ĠPeter,ĠJohn,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the primary adversary in ""Avengers: Age of Ultron.""
 Answer: ",Ġ______,Ġ______,ĠUl,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the planet where Thanos was born.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,ĠEarth,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The Black Widow was trained in the ______.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the queen of Asgard in Marvel Comics.
 Answer: ",ĠLoki,ĠThor,ĠThor,ĠThor,ĠLoki,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who has a suit powered by the Arc Reactor.
 Answer: ",Ġ______,Ġ______,ĠSuperman,ĠSuperman,ĠSuperman,ĠSuperman,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alien race to which Gamora belongs.
 Answer: ",Ġ______,Ġ______,ĠThan,ĠGuardians,ĠGuardians,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the father of Star-Lord.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠX,ĠX,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The character ______ was frozen in ice during World War II.
 Answer: ",1,1,1,1,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ______ is the real name of the Scarlet Witch.
 Answer: ",Ġ______,ĠW,ĠScarlet,ĠScarlet,ĠThe,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the name of the talking raccoon in Guardians of the Galaxy.
 Answer: ",Ġ______,Ġ______,ĠRocket,Ġ______,ĠThe,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the character who becomes Giant-Man.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠHulk,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses Vibranium in his suit.
 Answer: ",Ġ______,ĠIron,ĠIron,ĠIron,ĠIron,ĠMarvel,ĠMarvel,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the leader of the X-Men.
 Answer: ",ĠWolverine,ĠMagn,ĠX,ĠX,ĠX,1,ĠMarvel,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero team led by Nick Fury.
 Answer: ",Ġ______,ĠThe,ĠThe,ĠAvengers,ĠAvengers,ĠThe,ĠMarvel,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who can shrink to microscopic sizes.
 Answer: ",Ġ______,Ġ______,ĠAnt,1,Ġmin,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who controls metal and is the nemesis of the X-Men.
 Answer: ",ĠMagn,ĠMagn,ĠX,ĠX,ĠX,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the home planet of the Kree race.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,ĠEarth,ĠEarth,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the character who is known as ""The First Avenger.""
 Answer: ",Ġ______,Ġ______,1,1,ĠThe,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the character who becomes the Vision.
 Answer: ",Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the real name of the Falcon.
 Answer: ",Ġ______,Ġ______,ĠFalcon,ĠFalcon,ĠFalcon,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the place where Mjolnir was forged.
 Answer: ",Ġ______,ĠJ,ĠJ,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the archenemy of Spider-Man known for his green costume.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠVenom,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the sorceress who manipulates chaos magic.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠChaos,Ġ_,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero team that battles Galactus.
 Answer: ",ĠFantastic,ĠThe,ĠThe,ĠThe,ĠMarvel,ĠThe,ĠThe,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alter ego of the character Daredevil.
 Answer: ",Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the character known as the Merc with a Mouth.
 Answer: ",Ġ______,Ġ______,ĠThe,1,Ġ[,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the scientist who becomes Ant-Man.
 Answer: ",Ġ______,Ġ______,ĠThe,Âł,ĠMarvel,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the stone located on Vormir in the MCU.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠThe,ĠThe,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the headquarters of the Avengers.
 Answer: ",Ġ______,Ġ______,ĠNew,ĠThe,ĠThe,ĠThe,ĠMarvel,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who can control weather.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,Ġthunder,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the organization led by Nick Fury.
 Answer: ",Ġ______,ĠMarvel,ĠMarvel,ĠMarvel,ĠMarvel,ĠMarvel,ĠMarvel,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the father of Thor and Loki.
 Answer: ",ĠOdin,ĠOdin,ĠLoki,ĠLoki,ĠLoki,Ġ_,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the sister of Loki.
 Answer: ",ĠLoki,ĠLoki,ĠLoki,ĠLoki,ĠLoki,Ġ_,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the leader of the Wakandan army in Black Panther.
 Answer: ",ĠT,ĠT,ĠT,ĠX,ĠWak,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Wakandan mountain where Vibranium is mined.
 Answer: ",Ġ______,10,ĠWak,ĠWak,ĠWak,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alter ego of Ghost Rider.
 Answer: ",Ġ______,2,ĠGhost,ĠGhost,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the villainous AI created by Tony Stark and Bruce Banner.
 Answer: ",Ġ______,ĠIron,ĠIron,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character known for his healing factor.
 Answer: ",Ġ______,Ġ______,ĠX,ĠX,ĠHulk,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the organization that fights Hydra.
 Answer: ",ĠHydra,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the best friend of Captain America.
 Answer: ",Ġ______,Ġ______,1,1,ĠThe,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero with the alias ""Iron Spider.""
 Answer: ",Ġ______,Ġ______,ĠSpider,ĠSpider,ĠSpider,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alien race that invades New York in ""The Avengers.""
 Answer: ",Ġ______,ĠThe,ĠThe,Ġaliens,Ġaliens,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the real name of the character Quicksilver.
 Answer: ",Ġ______,Ġ______,ĠX,ĠX,ĠQu,ĠQu,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses magical rings for his powers.
 Answer: ",Ġ______,Ġ______,ĠSuper,ĠThe,ĠSuperman,ĠSuperman,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the name of the energy source that powers the Arc Reactor.
 Answer: ",Ġ______,Ġ______,Ġ______,1,Ġenergy,Ġenergy,Ġ______,1,1,1,1,1,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Asgardian who guards the Bifrost.
 Answer: ",ĠLoki,Ġ__,ĠAs,ĠOdin,ĠOdin,ĠThe,Ġ_,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who wears the symbiotic Venom suit.
 Answer: ",ĠVenom,ĠVenom,ĠVenom,ĠVenom,ĠVenom,ĠVenom,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who leads the Guardians of the Galaxy.
 Answer: ",Ġ______,Ġ______,ĠRocket,ĠX,ĠCaptain,1,ĠMarvel,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the ruler of the Dark Dimension in Doctor Strange.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero alias of Sam Wilson.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠCaptain,ĠMarvel,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero known for his vibranium claws.
 Answer: ",Ġ______,Ġ______,ĠIron,ĠIron,ĠMarvel,ĠMarvel,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the supervillain who becomes the Red Skull.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who uses a bow and arrow.
 Answer: ",Ġ______,Ġ______,ĠArrow,ĠThe,ĠThe,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the scientist who becomes the Green Goblin.
 Answer: ",Ġ______,Ġ______,ĠPeter,ĠPeter,ĠSpider,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alter ego of the Invisible Woman.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the villain who wields the Ebony Blade.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero known as the Human Torch.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who is an android.
 Answer: ",Ġ______,ĠIron,ĠIron,ĠX,ĠHulk,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the character who becomes Moon Knight.
 Answer: ",Ġ______,Ġ______,1,1,ĠThe,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alien species that Captain Marvel fights against.
 Answer: ",Ġ______,ĠK,ĠK,ĠK,Ġalien,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the girlfriend of Tony Stark in the MCU.
 Answer: ",ĠIron,ĠIron,ĠIron,ĠIron,ĠIron,Ġ______,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the symbiote that merges with Eddie Brock.
 Answer: ",ĠVenom,ĠVenom,ĠVenom,ĠVenom,ĠVenom,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel villain who hunts mutants.
 Answer: ",Ġ______,Ġ______,ĠX,ĠX,ĠX,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the celestial being who created the Infinity Stones.
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who has a flaming skull.
 Answer: ",Ġ______,ĠIron,ĠHulk,1,ĠHulk,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero who can turn invisible.
 Answer: ",Ġ______,Ġ______,ĠInvisible,ĠInvisible,ĠInvisible,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the best friend of Peter Parker.
 Answer: ",Ġ______,Ġ______,Ġ______,1,1,Ġ______,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the superhero team that includes Sue Storm and Reed Richards.
 Answer: ",ĠFantastic,ĠFantastic,ĠFantastic,ĠFantastic,ĠFantastic,ĠThe,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who wields a katana.
 Answer: ",Ġ______,Ġ______,ĠIron,1,ĠBruce,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the real name of the character Luke Cage.
 Answer: ",Ġ______,ĠLuke,ĠIron,ĠLuke,ĠHarlem,ĠMarvel,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who has the alias Jessica Jones.
 Answer: ",Ġ______,Ġ______,1,ĠJessica,ĠJessica,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel villain known as ""The Destroyer.""
 Answer: ",Ġ______,Ġ______,ĠThe,ĠThe,ĠThe,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who becomes Silver Surfer.
 Answer: ",Ġ______,ĠThe,1,1,1,1,1,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who has retractable claws.
 Answer: ",Ġ______,Ġ______,ĠIron,ĠX,ĠHulk,1,Ġ______,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the villain who rules Latveria.
 Answer: ",ĠThe,Ġ______,ĠThe,ĠThe,ĠThe,ĠThe,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the mutant ability of Charles Xavier.
 Answer: ",Ġ______,Ġtele,ĠX,ĠX,ĠX,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the alien species with shape-shifting powers.
 Answer: ",Ġ______,Ġ______,Ġ______,ĠThe,Ġaliens,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who becomes Captain Britain.
 Answer: ",Ġ______,ĠThe,1,ĠX,ĠX,1,1,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero with a magical hammer.
 Answer: ",Ġ______,Ġ______,ĠThor,ĠThor,ĠHulk,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel character who can manipulate light energy.
 Answer: ",ĠPhoton,Ġ______,ĠX,ĠX,ĠMarvel,1,Ġ______,1,1,1,1,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  ______ is the Marvel superhero who leads the Fantastic Four.
 Answer: ",Ġ______,ĠThe,ĠThe,ĠThe,ĠHulk,1,ĠMarvel,1,1,1,Ġ______,Ġ(,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The ________ is the highest court in the United States.
 Answer: ",ĠSupreme,ĠSupreme,ĠSupreme,ĠSupreme,ĠSupreme,ĠSupreme,ĠThe,ĠThe,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The president is elected to serve a term of ________ years.
 Answer: ",4,4,4,4,4,6,6,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ branch is responsible for making laws.
 Answer: ",ĠThe,ĠThe,2,2,1,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ Amendment granted women the right to vote.
 Answer: ",19,19,2,2,ĠAmendment,ĠAmendment,ĠAmendment,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first president of the United States was ________.
 Answer: ",ĠGeorge,ĠGeorge,ĠGeorge,1,1,1,ĠWilliam,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ branch is responsible for enforcing laws.
 Answer: ",1,1,1,1,1,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ branch interprets the laws and ensures they align with the Constitution.
 Answer: ",ĠThe,1,1,1,ĠConstitutional,ĠConstitution,ĠConstitution,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ consists of two chambers: the Senate and the House of Representatives.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,2,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A senator's term is ________ years long.
 Answer: ",10,5,5,4,2,5,1,1,1,1,ĠA,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The House of Representatives has ________ voting members.
 Answer: ",1,435,435,435,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ is the leader of the executive branch.
 Answer: ",ĠPresident,ĠThe,ĠThe,ĠThe,ĠPresident,ĠPresident,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ________ Amendment abolished slavery in the United States.
 Answer: ",13,13,13,1,1,Ġabolition,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The U.S. Constitution was signed in the year ________.
 Answer: ",178,178,178,178,178,178,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
