Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" The central character in ""The Old Man and the Sea"" is ________.
 Answer: ",ĠThe,Ġman,Ġfish,Ġman,Ġman,Ġman,ĠErnest,ĠErnest,Ġanswer,Ġanswer,Ġanswer,presso,presso,Ġanswer,Ġanswer,presso,presso,ongyang,'gc,ptest,logradouro,.Metro,Ð»ÑĸÑĤ,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The novel ""Don Quixote"" was written by ________.
 Answer: ",ĠC,ĠC,ĠC,ĠMiguel,ĠMiguel,ĠMiguel,ĠMiguel,ĠSpanish,ĠBalt,aled,Ġnovel,Ġnovel,ateg,ateg,ateg,ateg,ukan,ongyang,ĠSab,acha,logradouro,.Metro,ivent,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""The Metamorphosis"" transforms into a ________.
 Answer: ",ĠA,Ġbug,çĶ²,çĶ²,roach,Ġcater,Ġbugs,Ġbugs,Ġbugs,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,AtA,iddi,Uvs,/******/,akit,#ab,Ġstag,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""The Stranger"" is ________.
 Answer: ",ĠAlbert,ĠCam,ĠAlbert,ĠCam,orges,orges,orges,orges,orges,Ġexistential,Ġnovel,èįĲ,_death,ìłĿ,ìłĿ,ìłĿ,ìłĿ,ongyang,'gc,acha,/******/,.Metro,Ð»ÑĸÑĤ,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character of Holden Caulfield appears in ________.
 Answer: ",1,ĠThe,ĠCatch,ĠHolden,ĠHolden,ĠHolden,ĠHolden,ĠCatch,Ġnovel,Ġnovel,Ġnovel,inel,leftright,#__,akit,presso,ÑĢÐ¾Ð³,Uvs,'gc,ptest,logradouro,#ab,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The main character in ""The Brothers Karamazov"" is ________.
 Answer: ",ĠIvan,ĠAly,ĠDmit,ĠIvan,ifle,Ġprovinc,Ġfamously,ĠRussia,Ġfamously,Ġnovel,spb,.Undef,'gc,Î¼Î¼,Ġanswer,presso,presso,Uvs,'gc,ekil,akit,#ab,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Trial"" was written by ________.
 Answer: ",ĠFranz,ĠFranz,ĠFranz,ĠKafka,ĠKafka,ĠKafka,ĠKafka,ĠKafka,ĠKafka,Ġnovel,Ġnovel,Tpl,Tpl,ateg,ateg,ateg,'gc,'gc,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The novel ""Ulysses"" was written by ________.
 Answer: ",ĠJames,ĠJames,ĠJames,ĠJoyce,ĠJoyce,ĠDublin,ĠJoyce,ĠDublin,ĠJoyce,ĠJoyce,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,ateg,ateg,ateg,ÑĢÐ¾Ð³,ongyang,Uvs,acha,logradouro,.Metro,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The central figure in ""The Iliad"" is ________.
 Answer: ",ĠAchilles,ĠAch,ĠHector,ĠHector,ĠHector,ĠHector,ĠHector,ĠHector,Ġtro,Ġtro,Hdr,Hdr,ktop,Ġanswer,Ġanswer,HomeAsUp,presso,Uvs,'gc,]âĢı,/******/,#ab,ktop,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character of Sherlock Holmes was created by ________.
 Answer: ",1,ĠArthur,ĠArthur,ĠConan,ĠConan,ĠConan,ĠConan,ĠVictorian,ĠVictorian,Ġanswer,ichen,Ġanswer,ī,ī,Tpl,Tpl,ukan,ongyang,'gc,******/,logradouro,UnitTest,avigator,ĠkonkrÃ©t,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Odyssey"" was authored by ________.
 Answer: ",ĠHomer,"Ġ""",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,Ġepic,ateg,ĠAUTHORS,ĠAUTHORS,ateg,ateg,ateg,ateg,ÑĢÐ¾Ð³,Uvs,ĠSab,chg,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""Little Women"" is ________.
 Answer: ",ĠJo,ĠJo,ĠJo,ĠMeg,ĠMeg,opsy,egie,ĠMassachusetts,Ġtranscend,Ġsisters,Ġgirls,_firestore,okrat,licer,Ġanswer,ateg,ipple,@\,'gc,ĠBrace,logradouro,.Metro,ÏĦÎµÎ¹,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Jungle Book"" was written by ________.
 Answer: ",ĠK,ĠRud,ĠRud,ĠRud,ĠRud,ĠRud,ĠWalt,ĠWalt,ĠWalt,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,leftright,combe,Tpl,ĠAUTHORS,ukan,orden,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""The Call of the Wild"" is ________.
 Answer: ",1,ĠJack,ĠJack,ĠJack,ĠMark,agli,ynom,ynom,Ġanswer,ynom,ĠAUTHORS,Ġanswer,leftright,answered,answered,HomeAsUp,ìłĿ,ongyang,'gc,@brief,/******/,.Metro,Ð»ÑĸÑĤ,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Of Mice and Men"" was written by ________.
 Answer: ",ĠJohn,ĠJohn,ĠJohn,ĠStein,ĠStein,ĠStein,ĠStein,ĠStein,omor,Ġanswer,ĠAUTHORS,@Id,leftright,ateg,ateg,ateg,ÑĢÐ¾Ð³,ongyang,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The story ""Animal Farm"" is a satirical work by ________.
 Answer: ",ĠGeorge,ĠGeorge,ĠGeorge,ĠAnimal,ĠAnimal,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ongyang,ĠSab,ĠBrace,ÑĤÐ¾Ñİ,#ab,ivent,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""1984"" is ________.
 Answer: ",1,ĠGeorge,ĠGeorge,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,ĠOrwell,Ġanswer,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,ìłĿ,ìłĿ,ktop,sdk,acha,/******/,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist in ""Brave New World"" is ________.
 Answer: ",ĠThe,ĠMustafa,ĠMustafa,ĠMustafa,ĠMustafa,ĠMustafa,Ġdyst,Ġdyst,ĠPil,ĠPil,Ġneur,.Undef,leftright,.Undef,Ġanswer,presso,ipple,Uvs,'gc,chg,akit,#ab,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Fahrenheit 451"" was written by ________.
 Answer: ",ĠRay,ĠRay,ĠRay,ĠRay,ĠRay,ĠFahrenheit,ĠFahrenheit,ĠFahrenheit,ĠFahrenheit,ĠFahrenheit,ĠAUTHORS,ĠAUTHORS,leftright,ateg,ateg,ìłĿ,ÑĢÐ¾Ð³,orden,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The central character of ""Jane Eyre"" becomes a ________.
 Answer: ",Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,LastError,'gc,******/,ÑĤÐ¾Ñİ,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The mysterious governess in ""The Turn of the Screw"" is ________.
 Answer: ",1,Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,Ġneur,ï»¿#,ï»¿#,Ġanswer,presso,presso,presso,Ġanswer,Ġanswer,presso,'gc,HeaderCode,'gc,ptest,logradouro,.Metro,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Time Machine"" was authored by ________.
 Answer: ",ĠH,ĠH,ĠH,ĠWells,ĠWells,ĠWells,ĠWells,ĠVictorian,ĠVictorian,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,ateg,ateg,Tpl,"Ġ""",ÑĢÐ¾Ð³,orden,'gc,chg,Uvs,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Heart of Darkness"" is written by ________.
 Answer: ",1,ĠJoseph,ĠJoseph,ĠConrad,ĠConrad,ĠConrad,ĠConrad,ĠConrad,ymb,Ġnovelist,ogle,@Id,leftright,ateg,ìłĿ,ìłĿ,ukan,orden,'gc,acha,Uvs,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""The Call of the Wild"" is a dog named ________.
 Answer: ",ĠBuck,ĠBuck,ĠBuck,ĠUsing,asure,aska,å¿ł,Ġanswered,Ġdogs,Ġdogs,Ġdogs,Ġanswered,leftright,Ġanswered,Ġanswer,HomeAsUp,Drv,iddi,'gc,******/,logradouro,.Metro,ivent,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""White Fang"" was written by ________.
 Answer: ",ĠJack,ĠJack,ĠJack,ĠRud,ĠRud,ĠRud,ynom,ynom,ynom,ynom,ĠAUTHORS,ĠAUTHORS,leftright,Tpl,Tpl,Ġtus,Ġtus,orden,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Sound and the Fury"" was written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠFaul,ĠFaul,ĠFaul,ĠMississippi,ĠMississippi,ĠFaul,ĠMississippi,ĠMississippi,ĠMississippi,ateg,ateg,ateg,ateg,ìłĿ,orden,ĠSab,chg,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""The Good Earth"" is ________.
 Answer: ",ĠWang,ĠWang,ĠWang,ĠEarth,incinn,spar,ĠAns,spar,Ġanswered,Ġanswered,LEAR,/**ĊĊ,Ġanswer,Ġanswer,Ġanswer,ÐĽÐ¬,ipple,ongyang,'gc,ĠBrace,logradouro,.Metro,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Bell Jar"" was written by ________.
 Answer: ",ĠSylvia,ĠSylvia,ĠSylvia,ongyang,ceptar,Matchers,Matchers,ymb,Matchers,Matchers,leftright,leftright,leftright,leftright,ateg,ateg,'gc,'gc,'gc,chg,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""Catch-22"" is ________.
 Answer: ",1,ĠJoseph,ĠJoseph,ĠCatch,ĠCatch,Mailer,Mailer,Mailer,Ġnovel,Ġnovel,Ġnovel,Ġnovel,#af,ĠAUTHORS,ĠAUTHORS,ìłĿ,ìłĿ,ongyang,'gc,acha,logradouro,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""Rebecca"" is called ________.
 Answer: ",1,1,Ġmiss,Ġmiss,Ġmiss,Mrs,ĠAns,Mrs,Mrs,Mrs,Hdr,Hdr,_firestore,emain,emain,emain,'gc,'gc,'gc,ptest,logradouro,.Metro,Ġstag,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The setting of ""Dracula"" includes ________.
 Answer: ",ĠTrans,ĠTrans,ĠRomania,Ġcast,Ġcast,ĠRomania,ĠRomania,ĠRomania,Ġrural,Ġvamp,Ġvamp,Ġvamp,Ġvamp,KeyName,Ġanswer,presso,presso,Uvs,'gc,ptest,logradouro,#ab,ÏĦÎµÎ¹,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Importance of Being Earnest"" was written by ________.
 Answer: ",ĠOscar,ĠOscar,ĠOscar,ĠOscar,ĠOscar,ĠOscar,ĠOscar,ĠWilde,ĠWilde,ĠOscar,ĠOscar,ateg,ateg,ateg,ateg,ateg,ÑĢÐ¾Ð³,ongyang,'gc,chg,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character of Mr. Darcy is from the novel ________.
 Answer: ",ĠPride,ĠPride,ĠPride,Ġanswer,ĠPride,ĠPride,ĠPride,ĠPride,Ġanswer,Ġanswer,Ġanswer,Ġanswer,'gc,'gc,'gc,'gc,'gc,'gc,'gc,acha,ÑĤÐ¾Ñİ,.Metro,ktop,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""A Room with a View"" was authored by ________.
 Answer: ",ĠE,ĠE,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,Ġnovel,ĠAUTHORS,combe,combe,ateg,ateg,Ġãĥ,ÑĢÐ¾Ð³,orden,'gc,chg,Uvs,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Howards End"" was written by ________.
 Answer: ",ĠE,ĠE,ĠVirginia,ĠVirginia,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,Ġnovelist,Ġnovelist,Ġnovelist,bsp,leccion,ateg,ateg,emain,'gc,'gc,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The central character in ""The House of Mirth"" is ________.
 Answer: ",ĠLily,ĠLily,1,uron,Ġneur,Ġneur,Ġneur,Ġneur,Ġneur,olute,emain,leccion,agli,Ġanswer,Ġanswer,emain,'gc,'gc,'gc,ptest,@brief,.Metro,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The novel ""Tess of the d’Urbervilles"" is set in ________.
 Answer: ",Ġ,19,Ġanswer,Ġanswer,ĠVictorian,Ġrural,ĠEngland,ĠEngland,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ktop,'gc,ptest,ÑĤÐ¾Ñİ,#ab,ivent,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""The Mill on the Floss"" was written by ________.
 Answer: ",ĠGeorge,ĠGeorge,ĠGeorge,Ġnovel,Ġnovel,Ġnovel,185,185,185,185,Ġnovelist,184,ateg,ateg,ateg,ateg,'gc,'gc,'gc,chg,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Sons and Lovers"" was authored by ________.
 Answer: ",ĠD,ĠD,ĠDH,ĠDH,ĠSomerset,ĠSomerset,ĠSomerset,Ġnovel,Ġnovel,Ġnovel,Ġnovelist,ĠANSW,leccion,ateg,ateg,ateg,ÑĢÐ¾Ð³,'gc,'gc,chg,Uvs,.Metro,'gc,.scalablytyped,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""Women in Love"" is ________.
 Answer: ",ĠD,ĠD,ĠD,ĠD,ĠSomerset,ĠSomerset,ĠSomerset,ĠYorkshire,Ġnovel,Ġnovel,Ġnovel,Ġnovel,leftright,ateg,emain,styleType,ÑĢÐ¾Ð³,ongyang,'gc,acha,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The main character of ""Jude the Obscure"" is ________.
 Answer: ",ĠJude,ĠJude,ĠJude,ĠJude,ĠJude,ĠJud,ĠJud,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,HomeAsUp,ipple,Uvs,'gc,ptest,akit,.Metro,ÏĦÎµÎ¹,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""North and South"" was written by ________.
 Answer: ",1,ĠCharlotte,ĠCharlotte,ĠCharlotte,185,185,185,185,185,185,185,184,Ġanswer,ateg,Ġanswer,ateg,'gc,Uvs,'gc,acha,.Undef,UnitTest,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""Villette"" is ________.
 Answer: ",ĠLucy,ĠLucy,Ġmiss,Ġmiss,ĠRochester,Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,Ġgover,/**ĊĊ,/**ĊĊ,/**ĊĊ,emain,emain,ipple,'gc,'gc,acha,logradouro,.Metro,ÏĦÎµÎ¹,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Shirley"" was authored by ________.
 Answer: ","Ġ""","Ġ""",ouncer,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,ĠSomerset,Ġnovel,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,ĠAUTHORS,ateg,Ġanswer,ìłĿ,ÑĢÐ¾Ð³,Uvs,Uvs,emale,.Lines,.Guna,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The author of ""The Tenant of Wildfell Hall"" is ________.
 Answer: ",1,ĠAnne,ĠAnne,ĠAnne,ĠBran,Ġgover,184,184,184,184,184,184,184,'gc,'gc,'gc,'gc,'gc,'gc,acha,ÑĤÐ¾Ñİ,.Metro,Ð»ÑĸÑĤ,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character of Lady Macbeth appears in the play ________.
 Answer: ",ĠMac,ĠMac,ĠMac,ĠMac,Ġmac,Ġmac,Ġmac,ĠMac,LEAR,Ġplay,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,'gc,Uvs,'gc,ptest,ÑĤÐ¾Ñİ,#ab,ktop,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Macbeth"" was written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,LEAR,LEAR,LEAR,ateg,ateg,Ġanswer,presso,ÑĢÐ¾Ð³,",},Ċ",ĠSab,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ""Othello"" is a play written by ________.
 Answer: ",ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,ĠWilliam,Ġanswer,Ġanswer,Ġanswer,ateg,ateg,ateg,HomeAsUp,ÑĢÐ¾Ð³,ongyang,'gc,acha,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,'gc,.scalablytyped,.scalablytyped,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the real name of Iron Man.
 Answer: ",1,ĠTony,ĠTony,ĠTony,ĠTony,Ġiron,Ġiron,Ġiron,Ġiron,Ġiron,Ġanswer,iteDatabase,iteDatabase,ABCDEFGHIJKLMNOP,Ġanswer,presso,Ð»ÑĥÑĪ,ÛĮØ±Ùĩ,'gc,'gc,ycastle,UnitTest,ãĥĭãĤ¢,POCH,ibri,ibri,ICAST,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the Norse God of Thunder.
 Answer: ",1,ĠThor,ĠThor,ĠOdin,ĠThor,ĠThor,ĠThor,ĠThor,ĠThor,Ġthunder,Ġthunder,iteDatabase,iteDatabase,Ġanswered,Ġanswer,iteDatabase,Ġh,'gc,'gc,'gc,PLICIT,'gc,ãĥĭãĤ¢,ãĥĭãĤ¢,ibri,ibri,ICAST,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The shield used by Captain America is made of ______.
 Answer: ",1,Ġvib,Ġvib,Ġvib,Ġvib,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġanswer,Ġmaterial,Ġmaterial,ī,Ġanswer,Ġanswer,egal,presso,ÏĦÏİ,'gc,ĠBrace,logradouro,UnitTest,.$.,ãĥĭãĤ¢,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Black Panther is the king of ______.
 Answer: ",1,1,Ġanswer,Ġanswer,ĠPanther,ĠPanther,ĠPanther,ĠPanther,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,'gc,'gc,ĠBrace,logradouro,UnitTest,ëĿ½,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character ______ says, ""I am Groot.""
 Answer: ",ĠG,ĠG,ĠG,Ġanswer,Ġgroot,ĠGuardians,ĠGuardians,ĠGuardians,ĠGuardians,ĠGuardians,ĠGuardians,'gc,¶ģ,_mex,oplayer,¶ģ,presso,presso,ĠSab,emale,ssp,.Metro,.Ultra,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the archer in the Avengers team.
 Answer: ",ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,ĠHaw,.Undef,'gc,iteDatabase,'gc,ī,presso,Ġbene,'gc,'gc,'gc,ycastle,UnitTest,ãĥĭãĤ¢,ãĥĭãĤ¢,'gc,ibri,ICAST,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the sorcerer who protects the Time Stone.
 Answer: ",1,ĠWong,Ġsor,ĠDoctor,ĠDoctor,ĠDoctor,Ġsor,ĠDoctor,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,_mex,'gc,'gc,'gc,'gc,.Undef,UnitTest,'gc,'gc,ibri,ibri,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the name of Spider-Man’s alter ego.
 Answer: ",1,ĠPeter,ĠPeter,ĠPeter,ĠSpider,ĠSpider,ĠSpider,ĠSpider,Ġanswer,Ġanswer,Ġanswer,iteDatabase,iteDatabase,iteDatabase,Ġanswer,Tpl,ukan,#ac,'gc,:Event,ycastle,UnitTest,'gc,'gc,'gc,ibri,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Infinity Gauntlet is used to wield the power of ______.
 Answer: ",ĠThe,ĠThe,ĠInfinity,ĠInfinity,ĠThan,ĠThan,inel,inel,inel,inel,inel,inel,inel,Ġanswer,Ġanswer,presso,presso,'gc,'gc,ĠBrace,.Undef,UnitTest,avigator,ãĥĭãĤ¢,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" ______ is the AI assistant created by Tony Stark.
 Answer: ",ĠJ,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠJarvis,ĠAI,Hdr,Ġanswer,Hdr,Ġanswer,Ġanswer,presso,'gc,@\,'gc,:Event,.Undef,UnitTest,'gc,'gc,'gc,ibri,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The character ______ becomes the Hulk when angry.
 Answer: ",ĠBruce,ĠBanner,ĠBanner,ĠBanner,ĠBanner,ĠBanner,ĠBanner,ĠBanner,ĠBanner,ĠHulk,Ġexert,_firestore,ī,answered,Ġanswer,_mex,ipple,aData,'gc,UnitTest,UnitTest,UnitTest,Ġstag,STYPE,ibri,ibri,ICAST,adera,ĠOaks,orget,'gc,'gc,íĨ¤
" The metal alloy bonded to Wolverine’s skeleton is ______.
 Answer: ",1,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġadamant,Ġanswer,.habbo,ehler,Ġanswer,ehler,presso,ÏĦÏİ,'gc,ĠBrace,/******/,UnitTest,'gc,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
